Date,Close
2025-07-29,35.3622
2025-07-30,35.5288
2025-07-31,35.6091
2025-08-01,34.5452
2025-08-04,34.9477
2025-08-05,34.8595
2025-08-06,34.9537
2025-08-07,35.0112
2025-08-08,35.1262
2025-08-11,35.3315
2025-08-12,35.3384
2025-08-13,35.3939
2025-08-14,35.5724
2025-08-15,35.4723
2025-08-18,35.5288
2025-08-19,35.5328
2025-08-20,35.3364
2025-08-21,35.4832
2025-08-22,35.6726
2025-08-25,35.6389
2025-08-26,35.5635
2025-08-27,35.8441
2025-08-28,35.7489
2025-08-29,35.4723
2025-09-01,35.5843
2025-09-02,35.1689
2025-09-03,35.4326
2025-09-04,35.7112
2025-09-05,35.4733
2025-09-08,35.6894
2025-09-09,35.7053
2025-09-10,35.8749
2025-09-11,36.1188
2025-09-12,36.1218
2025-09-15,36.1813
2025-09-16,35.8788
2025-09-17,35.8521
2025-09-18,36.2645
2025-09-19,36.2903
2025-09-22,36.3667
2025-09-23,36.4004
2025-09-24,36.333
2025-09-25,36.2903
2025-09-26,36.3399
2025-09-29,36.4182
2025-09-30,36.3786
2025-10-01,36.6513
2025-10-02,36.793
2025-10-03,36.9487
2025-10-06,37.0657
2025-10-07,36.9993
2025-10-08,37.3216
2025-10-09,37.3691
2025-10-10,36.5937
2025-10-13,36.8892
2025-10-14,36.7464
2025-10-15,36.9457
2025-10-16,36.9091
2025-10-17,36.4876
2025-10-20,37.1431
2025-10-21,37.2829
2025-10-22,37.0776
2025-10-23,37.2065
2025-10-24,37.5139
2025-10-27,37.7668
2025-10-28,37.8372
2025-10-29,37.8917
2025-10-30,37.9363
2025-10-31,37.9244
2025-11-03,37.9839
2025-11-04,37.8347
2025-11-05,37.8983
2025-11-06,37.3335
2025-11-07,36.8641
2025-11-10,37.606
2025-11-11,37.7631
2025-11-12,37.9868
2025-11-13,37.4678
2025-11-14,37.4051
2025-11-17,37.2579
2025-11-18,36.7388
2025-11-19,36.8244
2025-11-20,37.071
2025-11-21,36.703
2025-11-24,37.1664
2025-11-25,37.249
2025-11-26,37.6915
2025-11-27,37.6756
2025-11-28,37.8088
2025-12-01,37.6686
2025-12-02,37.6736
2025-12-03,37.6627
2025-12-04,37.7611
2025-12-05,37.8934
2025-12-08,37.8317
2025-12-09,37.8785
2025-12-10,37.7929
2025-12-11,37.6418
2025-12-12,37.4081
2025-12-15,37.4807
2025-12-16,37.2231
2025-12-17,37.062
2025-12-18,37.4727
2025-12-19,37.6438
2025-12-22,37.7263
2025-12-23,37.7929
2025-12-29,37.8566
2025-12-30,37.9282
2026-01-02,37.7651
2026-01-05,38.2504
2026-01-06,38.3667
2026-01-07,38.495
2026-01-08,38.4174
2026-01-09,38.7346
2026-01-12,38.7267
2026-01-13,38.7874
2026-01-14,38.5338
2026-01-15,38.9982
2026-01-16,38.9415
2026-01-19,38.3687
2026-01-20,38.0395
2026-01-21,38.0704
2026-01-22,38.322
2026-01-23,38.2553
2026-01-26,38.1072
2026-01-27,38.0545
2026-01-28,38.0942
2026-01-29,37.7713
2026-01-30,38.0773
2026-02-02,38.477
2026-02-03,38.2966
2026-02-04,38.1979
2026-02-05,37.855
2026-02-06,38.193
2026-02-09,38.3913
2026-02-10,38.4691
2026-02-11,38.4491
2026-02-12,38.0983
2026-02-13,38.0574
2026-02-16,37.9826
2026-02-17,38.0843
2026-02-18,38.492
2026-02-19,38.4421
2026-02-20,38.5767
2026-02-23,38.2657
2026-02-24,38.4421
2026-02-25,38.7342
2026-02-26,38.6674
2026-02-27,38.478
2026-03-02,38.6345
2026-03-03,38.166
2026-03-04,38.6176
2026-03-05,38.4003
2026-03-06,37.9826
2026-03-09,37.8222
2026-03-10,38.3395
2026-03-11,38.2039
2026-03-12,38.0115
2026-03-13,37.9448
2026-03-16,38.0414
2026-03-17,38.1272
2026-03-18,37.8909
2026-03-19,37.265
2026-03-20,36.8623
2026-03-23,37.0098
2026-03-24,37.0267
2026-03-25,37.3636
2026-03-26,36.954
2026-03-27,36.4267
2026-03-30,36.6629
2026-03-31,36.637
2026-04-01,37.4005
2026-04-02,37.4354
2026-04-07,37.2141
2026-04-08,38.1601
2026-04-09,38.2009
2026-04-10,38.2856
2026-04-13,38.2916
2026-04-14,38.7123
2026-04-15,38.8757
2026-04-16,39.1239
2026-04-17,39.5615
2026-04-20,39.416
2026-04-21,39.3492
2026-04-22,39.5416
2026-04-23,39.676
2026-04-24,39.614
2026-04-27,39.57
2026-04-28,39.443
2026-04-29,39.473
2026-04-30,39.697
2026-05-04,39.844
2026-05-05,40.122
2026-05-06,40.551
2026-05-07,40.579
2026-05-08,40.549
2026-05-11,40.667
2026-05-12,40.424
2026-05-13,40.847
2026-05-14,41.388
2026-05-15,41.085
2026-05-18,40.848
2026-05-19,40.794
2026-05-20,41.183
2026-05-21,41.232
2026-05-22,41.682
2026-05-25,41.92
2026-05-26,41.772
2026-05-27,41.689
2026-05-28,41.793
2026-05-29,41.894
2026-06-01,42.016
2026-06-02,42.189
2026-06-03,42.047
2026-06-04,42.037
2026-06-05,41.86
2026-06-08,41.62
2026-06-09,41.036
2026-06-10,40.948
2026-06-11,41.036
2026-06-12,41.689
