Date,Close
2025-07-29,41.445
2025-07-30,41.685
2025-07-31,41.755
2025-08-01,40.55
2025-08-04,41.11
2025-08-05,41.0
2025-08-06,40.97
2025-08-07,40.995
2025-08-08,41.1
2025-08-11,41.35
2025-08-12,41.255
2025-08-13,41.37
2025-08-14,41.52
2025-08-15,41.44
2025-08-18,41.54
2025-08-19,41.495
2025-08-20,41.225
2025-08-21,41.435
2025-08-22,41.715
2025-08-25,41.7
2025-08-26,41.59
2025-08-27,41.92
2025-08-28,41.715
2025-08-29,41.41
2025-09-01,41.505
2025-09-02,40.915
2025-09-03,41.395
2025-09-04,41.635
2025-09-05,41.3
2025-09-08,41.545
2025-09-09,41.51
2025-09-10,41.755
2025-09-11,42.02
2025-09-12,42.09
2025-09-15,42.165
2025-09-16,41.74
2025-09-17,41.72
2025-09-18,42.28
2025-09-19,42.265
2025-09-22,42.215
2025-09-23,42.25
2025-09-24,42.16
2025-09-25,42.12
2025-09-26,42.135
2025-09-29,42.4
2025-09-30,42.365
2025-10-01,42.66
2025-10-02,42.855
2025-10-03,43.055
2025-10-06,43.33
2025-10-07,43.29
2025-10-08,43.585
2025-10-09,43.63
2025-10-10,42.73
2025-10-13,43.08
2025-10-14,42.825
2025-10-15,43.065
2025-10-16,43.05
2025-10-17,42.64
2025-10-20,43.34
2025-10-21,43.495
2025-10-22,43.33
2025-10-23,43.42
2025-10-24,43.82
2025-10-27,44.215
2025-10-28,44.34
2025-10-29,44.39
2025-10-30,44.545
2025-10-31,44.445
2025-11-03,44.58
2025-11-04,44.325
2025-11-05,44.39
2025-11-06,43.525
2025-11-07,42.83
2025-11-10,43.81
2025-11-11,43.975
2025-11-12,44.26
2025-11-13,43.595
2025-11-14,43.535
2025-11-17,43.46
2025-11-18,42.755
2025-11-19,42.94
2025-11-20,43.215
2025-11-21,42.87
2025-11-24,43.385
2025-11-25,43.35
2025-11-26,43.865
2025-11-27,43.82
2025-11-28,43.92
2025-12-01,43.74
2025-12-02,43.7
2025-12-03,43.74
2025-12-04,43.855
2025-12-05,44.11
2025-12-08,43.97
2025-12-09,44.0
2025-12-10,43.875
2025-12-11,43.73
2025-12-12,43.54
2025-12-15,43.74
2025-12-16,43.465
2025-12-17,43.25
2025-12-18,43.81
2025-12-19,43.985
2025-12-22,44.105
2025-12-23,44.23
2025-12-29,44.245
2025-12-30,44.34
2026-01-02,43.965
2026-01-05,44.535
2026-01-06,44.605
2026-01-07,44.95
2026-01-08,44.94
2026-01-09,45.185
2026-01-12,45.145
2026-01-13,45.18
2026-01-14,44.845
2026-01-15,45.3
2026-01-16,45.22
2026-01-19,44.495
2026-01-20,44.125
2026-01-21,44.265
2026-01-22,44.61
2026-01-23,44.58
2026-01-26,44.355
2026-01-27,44.2
2026-01-28,44.34
2026-01-29,43.575
2026-01-30,43.995
2026-02-02,44.385
2026-02-03,43.89
2026-02-04,43.735
2026-02-05,43.275
2026-02-06,43.73
2026-02-09,44.025
2026-02-10,44.1
2026-02-11,43.795
2026-02-12,43.475
2026-02-13,43.39
2026-02-16,43.345
2026-02-17,43.37
2026-02-18,43.73
2026-02-19,43.605
2026-02-20,43.84
2026-02-23,43.375
2026-02-24,43.525
2026-02-25,43.935
2026-02-26,43.81
2026-02-27,43.56
2026-03-02,43.665
2026-03-03,43.155
2026-03-04,43.71
2026-03-05,43.51
2026-03-06,43.105
2026-03-09,42.82
2026-03-10,43.41
2026-03-11,43.235
2026-03-12,42.975
2026-03-13,42.875
2026-03-16,43.025
2026-03-17,43.03
2026-03-18,42.75
2026-03-19,41.955
2026-03-20,41.5
2026-03-23,41.615
2026-03-24,41.395
2026-03-25,41.845
2026-03-26,41.33
2026-03-27,40.635
2026-03-30,40.955
2026-03-31,41.05
2026-04-01,42.015
2026-04-02,41.98
2026-04-07,41.665
2026-04-08,42.82
2026-04-09,42.67
2026-04-10,42.74
2026-04-13,42.88
2026-04-14,43.535
2026-04-15,43.91
2026-04-16,44.265
2026-04-17,44.94
2026-04-20,44.655
2026-04-21,44.73
2026-04-22,44.85
2026-04-23,44.85
2026-04-24,44.96
2026-04-27,45.005
2026-04-28,44.895
